LanePointX,LanePointY
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.646000,2.000000
-1.645984,2.000000
-1.645976,2.000000
-1.645966,2.000000
-1.645947,2.000000
-1.645921,2.000000
-1.645880,2.000000
-1.645826,2.000000
-1.645752,2.000000
-1.645659,2.000000
-1.645541,2.000000
-1.645398,2.000000
-1.645224,2.000000
-1.645021,2.000000
-1.644780,2.000000
-1.644505,2.000000
-1.633950,2.000000
-1.632700,2.000000
-1.631352,2.000000
-1.629930,2.000000
-1.628403,2.000000
-1.626798,2.000000
-1.625081,2.000000
-1.623274,2.000000
-1.621364,2.000000
-1.619361,2.000000
-1.617230,2.000000
-1.615009,2.000000
-1.612656,2.000000
-1.610207,2.000000
-1.607629,2.000000
-1.547993,2.000000
-1.543006,2.000000
-1.537791,2.000000
-1.532460,2.000000
-1.526929,2.000000
-1.521221,2.000000
-1.515349,2.000000
-1.503132,2.000000
-1.496792,2.000000
-1.490309,2.000000
-1.490309,2.000000
-1.476924,2.000000
-1.476924,2.000000
-1.470036,2.000000
-1.463026,2.000000
-1.338753,2.000000
-1.330509,2.000000
-1.322203,2.000000
-1.313980,2.000000
-1.305649,2.000000
-1.297388,2.000000
-1.289053,2.000000
-1.280800,2.000000
-1.272531,2.000000
-1.264265,2.000000
-1.255987,2.000000
-1.247789,2.000000
-1.239533,2.000000
-1.231365,2.000000
-1.223180,2.000000
-1.094005,2.000000
-1.086115,2.000000
-1.078175,2.000000
-1.070249,2.000000
-1.062294,2.000000
-1.054416,2.000000
-1.046526,2.000000
-1.038704,2.000000
-1.030864,2.000000
-1.023034,2.000000
-1.015212,2.000000
-0.999610,2.000000
-0.999610,2.000000
-0.984064,2.000000
-0.976312,2.000000
-0.854206,2.000000
-0.846734,2.000000
-0.839204,2.000000
-0.831715,2.000000
-0.824243,2.000000
-0.824243,2.000000
-0.816784,2.000000
-0.801920,2.000000
-0.794538,2.000000
-0.787108,2.000000
-0.779728,2.000000
-0.772355,2.000000
-0.765004,2.000000
-0.765004,2.000000
-0.757657,2.000000
-0.641219,2.000000
-0.626530,2.000000
-0.626530,2.000000
-0.611726,2.000000
-0.611726,2.000000
-0.604277,2.000000
-0.596794,2.000000
-0.589279,2.000000
-0.581722,2.000000
-0.574117,2.000000
-0.566470,2.000000
-0.558776,2.000000
-0.550988,2.000000
-0.535364,2.000000
-0.535364,2.000000
-0.399594,2.000000
-0.390339,2.000000
-0.371498,2.000000
-0.361872,2.000000
-0.361872,2.000000
-0.352211,2.000000
-0.342353,2.000000
-0.332408,2.000000
-0.322325,2.000000
-0.312168,2.000000
-0.301836,2.000000
-0.280856,2.000000
-0.270136,2.000000
