LanePointX,LanePointY
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.646000,-6.000000
-1.645984,-6.000000
-1.645976,-6.000000
-1.645966,-6.000000
-1.645947,-6.000000
-1.645921,-6.000000
-1.645880,-6.000000
-1.645826,-6.000000
-1.645752,-6.000000
-1.645659,-6.000000
-1.645541,-6.000000
-1.645398,-6.000000
-1.645224,-6.000000
-1.645021,-6.000000
-1.644780,-6.000000
-1.644505,-6.000000
-1.633950,-6.000000
-1.632700,-6.000000
-1.631352,-6.000000
-1.629930,-6.000000
-1.628403,-6.000000
-1.626798,-6.000000
-1.625081,-6.000000
-1.623274,-6.000000
-1.621364,-6.000000
-1.619361,-6.000000
-1.617230,-6.000000
-1.615009,-6.000000
-1.612656,-6.000000
-1.610207,-6.000000
-1.607629,-6.000000
-1.547993,-6.000000
-1.543006,-6.000000
-1.537791,-6.000000
-1.532460,-6.000000
-1.526929,-6.000000
-1.521221,-6.000000
-1.515349,-6.000000
-1.503132,-6.000000
-1.496792,-6.000000
-1.490309,-6.000000
-1.490309,-6.000000
-1.483678,-6.000000
-1.476924,-6.000000
-1.470036,-6.000000
-1.463026,-6.000000
-1.338753,-6.000000
-1.330509,-6.000000
-1.322203,-6.000000
-1.313980,-6.000000
-1.305649,-6.000000
-1.297388,-6.000000
-1.289053,-6.000000
-1.280800,-6.000000
-1.272531,-6.000000
-1.264265,-6.000000
-1.255987,-6.000000
-1.247789,-6.000000
-1.239533,-6.000000
-1.231365,-6.000000
-1.223180,-6.000000
-1.094005,-6.000000
-1.086115,-6.000000
-1.078175,-6.000000
-1.070249,-6.000000
-1.062294,-6.000000
-1.054416,-6.000000
-1.046526,-6.000000
-1.038704,-6.000000
-1.030864,-6.000000
-1.023034,-6.000000
-1.015212,-6.000000
-0.999610,-6.000000
-0.999610,-6.000000
-0.984064,-6.000000
-0.976312,-6.000000
-0.854206,-6.000000
-0.846734,-6.000000
-0.839204,-6.000000
-0.831715,-6.000000
-0.824243,-6.000000
-0.824243,-6.000000
-0.816784,-6.000000
-0.801920,-6.000000
-0.794538,-6.000000
-0.787108,-6.000000
-0.779728,-6.000000
-0.779728,-6.000000
-0.765004,-6.000000
-0.765004,-6.000000
-0.757657,-6.000000
-0.641219,-6.000000
-0.626530,-6.000000
-0.626530,-6.000000
-0.611726,-6.000000
-0.611726,-6.000000
-0.604277,-6.000000
-0.596794,-6.000000
-0.589279,-6.000000
-0.581722,-6.000000
-0.574117,-6.000000
-0.566470,-6.000000
-0.558776,-6.000000
-0.550988,-6.000000
-0.543217,-6.000000
-0.535364,-6.000000
-0.399594,-6.000000
-0.390339,-6.000000
-0.371498,-6.000000
-0.361872,-6.000000
-0.361872,-6.000000
-0.352211,-6.000000
-0.342353,-6.000000
-0.332408,-6.000000
-0.322325,-6.000000
-0.312168,-6.000000
-0.301836,-6.000000
-0.280856,-6.000000
-0.270136,-6.000000
-0.270136,-6.000000
-0.248243,-6.000000
-0.063950,-6.000000
-0.036494,-6.000000
-0.022612,-6.000000
-0.008444,-6.000000
0.005789,-6.000000
0.020250,-6.000000
0.034725,-6.000000
0.049445,-6.000000
0.064167,-6.000000
0.079031,-6.000000
0.094046,-6.000000
0.094046,-6.000000
0.109174,-6.000000
0.139707,-6.000000
0.139707,-6.000000
0.409074,-6.000000
0.425153,-6.000000
0.441208,-6.000000
0.457237,-6.000000
0.473274,-6.000000
0.489253,-6.000000
0.505259,-6.000000
0.521245,-6.000000
0.537143,-6.000000
0.553161,-6.000000
0.569088,-6.000000
0.569088,-6.000000
0.585001,-6.000000
0.616824,-6.000000
0.616824,-6.000000
0.884836,-6.000000
0.884836,-6.000000
0.916115,-6.000000
0.931722,-6.000000
0.931722,-6.000000
0.947312,-6.000000
0.978454,-6.000000
0.978454,-6.000000
0.994003,-6.000000
1.009537,-6.000000
1.025060,-6.000000
1.040573,-6.000000
1.056066,-6.000000
1.071553,-6.000000
1.087026,-6.000000
1.332668,-6.000000
1.347824,-6.000000
1.363096,-6.000000
1.378230,-6.000000
1.393487,-6.000000
1.408585,-6.000000
1.438868,-6.000000
1.454032,-6.000000
1.454032,-6.000000
1.469127,-6.000000
1.499347,-6.000000
1.499347,-6.000000
1.529594,-6.000000
1.529594,-6.000000
1.544741,-6.000000
1.805654,-6.000000
1.821426,-6.000000
1.837205,-6.000000
