LanePointX,LanePointY
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646000,4.000000
-1.646009,4.000000
-1.645997,4.000000
-1.645989,4.000000
-1.645984,4.000000
-1.645976,4.000000
-1.645966,4.000000
-1.645947,4.000000
-1.645921,4.000000
-1.645880,4.000000
-1.645826,4.000000
-1.645752,4.000000
-1.645659,4.000000
-1.645541,4.000000
-1.645398,4.000000
-1.645224,4.000000
-1.645021,4.000000
-1.644780,4.000000
-1.644505,4.000000
-1.644187,4.000000
-1.643827,4.000000
-1.643420,4.000000
-1.642967,4.000000
-1.642459,4.000000
-1.641901,4.000000
-1.641281,4.000000
-1.640607,4.000000
-1.639864,4.000000
-1.639062,4.000000
-1.638188,4.000000
-1.637241,4.000000
-1.637241,4.000000
-1.635132,4.000000
-1.635132,4.000000
-1.633950,4.000000
-1.632700,4.000000
-1.631352,4.000000
-1.629930,4.000000
-1.628403,4.000000
-1.626798,4.000000
-1.625081,4.000000
-1.623274,4.000000
-1.621364,4.000000
-1.619361,4.000000
-1.617230,4.000000
-1.615009,4.000000
-1.612656,4.000000
-1.610207,4.000000
-1.607629,4.000000
-1.604931,4.000000
-1.602107,4.000000
-1.599161,4.000000
-1.596080,4.000000
-1.592869,4.000000
-1.589526,4.000000
-1.586044,4.000000
-1.582425,4.000000
-1.578659,4.000000
-1.574736,4.000000
-1.570669,4.000000
-1.566451,4.000000
-1.562084,4.000000
-1.557555,4.000000
-1.552869,4.000000
-1.547993,4.000000
-1.543006,4.000000
-1.537791,4.000000
-1.532460,4.000000
-1.526929,4.000000
-1.521221,4.000000
-1.515349,4.000000
-1.503132,4.000000
-1.496792,4.000000
-1.490309,4.000000
-1.490309,4.000000
-1.476924,4.000000
-1.476924,4.000000
-1.470036,4.000000
-1.463026,4.000000
-1.448663,4.000000
-1.448663,4.000000
-1.441319,4.000000
-1.433876,4.000000
-1.426338,4.000000
-1.418712,4.000000
-1.403211,4.000000
-1.403211,4.000000
-1.395349,4.000000
-1.387409,4.000000
-1.379422,4.000000
-1.371380,4.000000
-1.363229,4.000000
-1.355138,4.000000
-1.346920,4.000000
-1.338753,4.000000
-1.330509,4.000000
-1.322203,4.000000
-1.313980,4.000000
-1.305649,4.000000
-1.297388,4.000000
